publisher_name,publisher_id
United Nations Population Fund,unfpa
United Nations World Food Programme (WFP),wfp
United Purpose,cu
United States,unitedstates
United States Agency for International Development (USAID),usaid
United Work,united_work
Universitair Centrum voor Ontwikkelingssamenwerking,ucos
University College London,ucl
University of Amsterdam,uva_org
University of Birmingham,universityofbirmingham
University of Leeds,leedsuni
"University of Manchester, The",uom
University Twente,utwente
Upper Quartile,uq
Urgent Action Fund for Women's Human Rights,uaf
Urgent Action Fund Latin America and the Caribbean,uafla
Urgent Action Fund-Africa,uaf-africa
UTZ,utz
UWEZO Youth Empowerment,uwezo_youth_empowerment
Varkey Foundation,varkeyfoundation
VEI (Vitens-Evides International),vei_nl
VETERINAIRES SANS FRONTIERES / DIERENARTSEN ZONDER GRENZEN - BELGIUM,vsfbelgium
VIA Don Bosco,via-db
Vision Aid Overseas,vao
Vision for a Nation Foundation,vfan
Viva,viva
Vlaamse Interuniversitaire Raad voor Universitaire Ontwikkelingssamenwerking (VLIR-UOS),vlir-uos
VNG International,vngi
Voluntary Health Association of India,vhai-org
Voluntary Service Overseas (VSO),vso
VVOB Education for Development,vvob
VVSG - Vereniging van Vlaamse Steden en Gemeenten,vvsg
VZW KBA FONCABA ASBL,foncaba
Wageningen University & Research - Stichting Wageningen Research,wageningen_ur
War Child Canada,wcc
War Child Holland,warchildholland
War Child UK,wcuk
War on Want,waronwant
War on Want NI,wowni
WASH Alliance International,wai
WASTE advisers on urban environment and development,waste
Water & Sanitation for the Urban Poor (WSUP),wsup
Water Finance Facility,wff
Water for People,w4p
Water Integrity Network Association,win
Water Witness International,water-witness-international
Water Works,waterworks
WaterAid,wateraid
We Effect,weeffect
Welbodi Partnership,welbodipartnership
Wellfound,wellfound
Welthungerhilfe,whh
Wemos Foundation,wemos
Wereldsolidariteit-Solidarité Mondiale (WSM),wsm
Wetlands International,wi
"William and Flora Hewlett Foundation, The",hewlett-foundation
Win Win Strategies,wws
Windle Trust Kenya,wtk
WNF Wereld Natuur Fonds,wnf
"WO=MEN, Dutch Gender Platform",wo-men
Womankind Worldwide,womankindworld
Women and Children First (UK),wcf
Women Environmental Programme,wep
Women for Women International (UK),wfwiuk
Women Peacemakers Program,wpp
Women's Action Group,wag-1983
Women's Environment & Development Organization,wedo
Women's Global Network on Reproductive Rights,wgnrr_iati
Women's Refugee Commission,w_r_c
World Agroforestry Centre,icraf_
World Association for Christian Communication (UK),wacc-uk
"World Bank, The",worldbank
World Child Cancer UK,wccuk
World Economic Forum,worldeconomicforum
World Economic Forum Geneva,weforum_geneva
World Federalist Movement - Institute for Global Policy,wfm-igp
World Health Organization,who
World Resources Institute,wri
World University Service of Canada,wusc
World Vision International,wvi
World Vision Netherlands,wvnld
World Vision Syria,wvsyria
World Vision UK,wvuk
World Vision Zimbabwe,wvz-gec
World Waternet,worldwaternet
World Wide Fund for Nature - Pakistan,wwfpakistan
World Wide Fund for Nature Belgium (WWF-BE),wwf-be
Worldwide Hospice Palliative Care Alliance,whpca
WWF-UK,wwf-uk
WYG International B.V.,wygi
Y Care International,ycare
YMCA of Liberia,libymca
Young Innovations Pvt. Ltd,yipl
Youth Business International,ybi
Youth Net and Counselling - YONECO,yoneco1997
YWCA of Bangladesh,ywcabd
Zimbabwe Educational Trust,zet
Zimmerman & Zimmerman,zimmzimm
Zing,zing
ZOA,zoa
